config,period,name,lookback,volume_z,hold,stop_atr,target_r,base_trades,base_avg_bps,base_pf,base_win_rate,base_total_bps,base_symbols,base_breadth,stress_trades,stress_avg_bps,stress_pf,stress_win_rate,stress_total_bps,stress_symbols,stress_breadth
BRK_L16_V0_H16_S1.5_T0,2024,BRK_L16_V0_H16_S1.5_T0,16,0.0,16,1.5,,8849,-13.334704930743447,0.8371763455859962,0.313255735111312,-117998.80393214876,22,0.18181818181818182,8849,-21.33470493074345,0.7560210614390811,0.30161600180811393,-188790.8039321488,22,0.045454545454545456
BRK_L16_V0_H16_S1.5_T0,2025H1,BRK_L16_V0_H16_S1.5_T0,16,0.0,16,1.5,,4331,-17.546021298244014,0.7786025477344847,0.3311013622719926,-75991.81824269482,22,0.045454545454545456,4331,-25.546021298244018,0.6982448290723591,0.317940429462018,-110639.81824269483,22,0.0
BRK_L16_V0_H16_S1.5_T0,2025H2,BRK_L16_V0_H16_S1.5_T0,16,0.0,16,1.5,,4461,-7.034515628330737,0.8960509472129627,0.33714413808563104,-31380.974217983417,22,0.2727272727272727,4461,-15.034515628330736,0.7941218526930656,0.3236942389598745,-67068.97421798341,22,0.045454545454545456
BRK_L16_V0_H16_S1.5_T0,2026H1,BRK_L16_V0_H16_S1.5_T0,16,0.0,16,1.5,,4233,-19.246530152787916,0.7124987907281183,0.330970942593905,-81470.56213675125,25,0.0,4233,-27.246530152787916,0.6234479375109564,0.3149066855657926,-115334.56213675125,25,0.0
BRK_L16_V0_H16_S1.5_T0,JULY2026,BRK_L16_V0_H16_S1.5_T0,16,0.0,16,1.5,,662,-38.62586568528648,0.38182568504876313,0.23413897280966767,-25570.32308365965,29,0.0,662,-46.62586568528648,0.32114222719775926,0.2175226586102719,-30866.32308365965,29,0.0
BRK_L16_V0_H16_S1.5_T3,2024,BRK_L16_V0_H16_S1.5_T3,16,0.0,16,1.5,3.0,9102,-16.766994403564684,0.7984679200066583,0.3224566029444078,-152613.18306124574,22,0.045454545454545456,9102,-24.766994403564684,0.7206757824926199,0.31168973851900683,-225429.18306124577,22,0.045454545454545456
BRK_L16_V0_H16_S1.5_T3,2025H1,BRK_L16_V0_H16_S1.5_T3,16,0.0,16,1.5,3.0,4411,-13.06166906808319,0.8344261879815819,0.33915211970074816,-57615.02225931495,22,0.13636363636363635,4411,-21.06166906808319,0.7499421772988905,0.32645658580820675,-92903.02225931495,22,0.045454545454545456
BRK_L16_V0_H16_S1.5_T3,2025H2,BRK_L16_V0_H16_S1.5_T3,16,0.0,16,1.5,3.0,4539,-9.32058080528117,0.8610078552015555,0.3465521039876625,-42306.116275171225,22,0.09090909090909091,4539,-17.320580805281168,0.760547440790182,0.33377395902181095,-78618.11627517123,22,0.0
BRK_L16_V0_H16_S1.5_T3,2026H1,BRK_L16_V0_H16_S1.5_T3,16,0.0,16,1.5,3.0,4328,-17.98380769790672,0.7296155255703151,0.3408040665434381,-77833.91971654029,25,0.0,4328,-25.98380769790672,0.6383302954736247,0.32532347504621073,-112457.91971654029,25,0.0
BRK_L16_V0_H16_S1.5_T3,JULY2026,BRK_L16_V0_H16_S1.5_T3,16,0.0,16,1.5,3.0,669,-34.83850597456976,0.4415605623141675,0.23916292974588937,-23306.960496987173,29,0.034482758620689655,669,-42.83850597456976,0.37501782760490415,0.2227204783258595,-28658.960496987173,29,0.0
BRK_L16_V0_H16_S2_T0,2024,BRK_L16_V0_H16_S2_T0,16,0.0,16,2.0,,8591,-14.338271195668394,0.8410756460692796,0.3632871609824235,-123180.08784198717,22,0.13636363636363635,8591,-22.33827119566839,0.765804859123066,0.3480386450937027,-191908.08784198714,22,0.045454545454545456
BRK_L16_V0_H16_S2_T0,2025H1,BRK_L16_V0_H16_S2_T0,16,0.0,16,2.0,,4227,-18.31086366594263,0.7883922373544832,0.37331440738112137,-77400.02071593949,22,0.045454545454545456,4227,-26.31086366594263,0.712815304252402,0.3560444759876981,-111216.02071593949,22,0.0
BRK_L16_V0_H16_S2_T0,2025H2,BRK_L16_V0_H16_S2_T0,16,0.0,16,2.0,,4355,-5.227281659428818,0.9272899030190956,0.3878300803673938,-22764.8116268125,22,0.3181818181818182,4355,-13.227281659428817,0.8279060300596447,0.3701492537313433,-57604.8116268125,22,0.09090909090909091
BRK_L16_V0_H16_S2_T0,2026H1,BRK_L16_V0_H16_S2_T0,16,0.0,16,2.0,,4135,-21.16847518437686,0.7131510254572767,0.37920193470374847,-87531.64488739832,25,0.0,4135,-29.168475184376852,0.6300346414024596,0.35937122128174126,-120611.64488739829,25,0.0
BRK_L16_V0_H16_S2_T0,JULY2026,BRK_L16_V0_H16_S2_T0,16,0.0,16,2.0,,652,-39.41804654748867,0.41609961479546886,0.2929447852760736,-25700.566348962613,29,0.034482758620689655,652,-47.41804654748867,0.35286183144475913,0.2684049079754601,-30916.566348962613,29,0.0
BRK_L16_V0_H16_S2_T3,2024,BRK_L16_V0_H16_S2_T3,16,0.0,16,2.0,3.0,8733,-16.698942501561508,0.8177316207659708,0.36711324859727473,-145831.86486613663,22,0.045454545454545456,8733,-24.698942501561504,0.7447051923835863,0.3523416924310088,-215695.8648661366,22,0.045454545454545456
BRK_L16_V0_H16_S2_T3,2025H1,BRK_L16_V0_H16_S2_T3,16,0.0,16,2.0,3.0,4263,-14.581749348115839,0.832474863103623,0.3739150832746892,-62161.99747101782,22,0.13636363636363635,4263,-22.581749348115835,0.7548648148536407,0.35702556884822895,-96265.9974710178,22,0.045454545454545456
BRK_L16_V0_H16_S2_T3,2025H2,BRK_L16_V0_H16_S2_T3,16,0.0,16,2.0,3.0,4386,-8.0808141677709,0.8872896673898862,0.3903328773369813,-35442.45093984317,22,0.045454545454545456,4386,-16.0808141677709,0.7901830669859781,0.37300501595987234,-70530.45093984317,22,0.045454545454545456
BRK_L16_V0_H16_S2_T3,2026H1,BRK_L16_V0_H16_S2_T3,16,0.0,16,2.0,3.0,4176,-20.904510872698154,0.7173470887560784,0.38050766283524906,-87297.23740438749,25,0.0,4176,-28.904510872698154,0.6340811319736467,0.36087164750957856,-120705.23740438749,25,0.0
BRK_L16_V0_H16_S2_T3,JULY2026,BRK_L16_V0_H16_S2_T3,16,0.0,16,2.0,3.0,654,-39.0831504463326,0.4239344207556101,0.29204892966360857,-25560.380391901523,29,0.034482758620689655,654,-47.0831504463326,0.3604317187566818,0.26758409785932724,-30792.380391901523,29,0.0
BRK_L16_V0.75_H4_S1.5_T0,2024,BRK_L16_V0.75_H4_S1.5_T0,16,0.75,4,1.5,,15582,-16.532890057982208,0.7486700885807873,0.38480297779489153,-257615.49288347876,30,0.0,15582,-24.532890057982208,0.6535082507519695,0.3595815684764472,-382271.49288347876,30,0.0
BRK_L16_V0.75_H4_S1.5_T0,2025H1,BRK_L16_V0.75_H4_S1.5_T0,16,0.75,4,1.5,,7819,-16.934481170213257,0.7247295863103123,0.396342243253613,-132410.70826989744,30,0.0,7819,-24.934481170213257,0.6248446929603092,0.3675661849341348,-194962.70826989744,30,0.0
